#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 16:27:28.768,,
#Sample rate: 8000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Sine,,
#Frequency: 10 Hz,,
#Period: 100 ms,,
#Amplitude: 1 V,,
#Offset: 2.5 V,,
#Symmetry: 50 %,,
#Phase: 0 ��,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 5 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
-0.0785,0.593082354,2.5
-0.078375,1.319482579,2.492146099
-0.07825,3.999259578,2.484292683
-0.078125,4.398215143,2.476440235
-0.078,4.398215143,2.468589241
-0.077875,4.398215143,2.460740184
-0.07775,4.394451411,2.452893549
-0.077625,4.394451411,2.44504982
-0.0775,4.394451411,2.43720948
-0.077375,4.394451411,2.429373014
-0.07725,4.394451411,2.421540904
-0.077125,4.398215143,2.413713634
-0.077,4.394451411,2.405891687
-0.076875,4.394451411,2.398075544
-0.07675,4.394451411,2.390265689
-0.076625,4.398215143,2.382462603
-0.0765,4.398215143,2.374666766
-0.076375,4.398215143,2.366878661
-0.07625,4.398215143,2.359098768
-0.076125,4.394451411,2.351327566
-0.076,4.398215143,2.343565535
-0.075875,4.398215143,2.335813153
-0.07575,4.394451411,2.3280709
-0.075625,4.394451411,2.320339251
-0.0755,4.394451411,2.312618685
-0.075375,4.394451411,2.304909678
-0.07525,4.394451411,2.297212705
-0.075125,4.394451411,2.28952824
-0.075,4.398215143,2.281856759
-0.074875,4.398215143,2.274198733
-0.07475,4.394451411,2.266554636
-0.074625,4.394451411,2.258924939
-0.0745,4.398215143,2.251310113
-0.074375,4.398215143,2.243710627
-0.07425,4.394451411,2.23612695
-0.074125,4.394451411,2.22855955
-0.074,4.398215143,2.221008894
-0.073875,4.398215143,2.213475447
-0.07375,4.398215143,2.205959675
-0.073625,4.398215143,2.19846204
-0.0735,4.394451411,2.190983006
-0.073375,4.398215143,2.183523033
-0.07325,4.394451411,2.176082582
-0.073125,4.398215143,2.168662112
-0.073,4.398215143,2.16126208
-0.072875,4.394451411,2.153882943
-0.07275,4.394451411,2.146525156
-0.072625,4.398215143,2.139189174
-0.0725,4.398215143,2.131875447
-0.072375,4.398215143,2.124584429
-0.07225,4.398215143,2.117316568
-0.072125,4.398215143,2.110072312
-0.072,4.398215143,2.102852109
-0.071875,4.398215143,2.095656404
-0.07175,4.394451411,2.088485641
-0.071625,4.398215143,2.081340262
-0.0715,4.398215143,2.074220708
-0.071375,4.398215143,2.067127418
-0.07125,4.398215143,2.06006083
-0.071125,4.398215143,2.053021379
-0.071,4.398215143,2.0460095
-0.070875,4.398215143,2.039025625
-0.07075,4.398215143,2.032070186
-0.070625,4.398215143,2.02514361
-0.0705,4.398215143,2.018246326
-0.070375,4.398215143,2.011378759
-0.07025,4.398215143,2.004541332
-0.070125,4.398215143,1.997734467
-0.07,4.398215143,1.990958584
-0.069875,4.398215143,1.984214102
-0.06975,4.394451411,1.977501435
-0.069625,4.394451411,1.970820999
-0.0695,4.394451411,1.964173205
-0.069375,4.398215143,1.957558463
-0.06925,4.398215143,1.950977182
-0.069125,4.394451411,1.944429767
-0.069,4.394451411,1.937916622
-0.068875,4.394451411,1.931438149
-0.06875,4.398215143,1.924994748
