#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321AC1D4D,,,
#Date Time: 2020-12-03 16:30:41.368,,,
#Sample rate: 7.69231e+06Hz,,,
#Samples: 8192,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,,
#Wavegen Channel 1: Running,,,
#Mode: Simple,,,
#Type: Sine,,,
#Frequency: 10 kHz,,,
#Period: 100 us,,,
#Amplitude: 1 V,,,
#Offset: 2.5 V,,,
#Symmetry: 50 %,,,
#Phase: 0 ��,,,
#Power Supplies: ON,,,
#Positive Supply: ON,,,
#Voltage: 5 V,,,
#Negative Supply: ON,,,
#Voltage: -5 V,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),
0.43162158,0.540390109,2.5
0.43162171,0.536626378,2.49183195,
0.43162184,0.532862646,2.483664445,
0.43162197,0.540390109,2.47549803,
0.4316221,0.547917573,2.467333249,
0.43162223,0.555445036,2.459170648,
0.43162236,0.551681305,2.451010771,
0.43162249,0.559208768,2.442854163,
0.43162262,0.5629725,2.434701367,
0.43162275,0.5629725,2.426552927,
0.43162288,0.566736231,2.418409388,
0.43162301,0.570499963,2.410271293,
0.43162314,0.578027427,2.402139184,
0.43162327,0.581791158,2.394013604,
0.4316234,0.58555489,2.385895096,
0.43162353,0.593082354,2.3777842,
0.43162366,0.593082354,2.369681458,
0.43162379,0.604373549,2.361587411,
0.43162392,0.611901012,2.353502599,
0.43162405,0.615664744,2.34542756,
0.43162418,0.634483403,2.337362835,
0.43162431,0.645774598,2.32930896,
0.43162444,0.657065793,2.321266473,
0.43162457,0.67212072,2.313235912,
0.4316247,0.679648184,2.30521781,
0.43162483,0.694703111,2.297212705,
0.43162496,0.702230574,2.289221128,
0.43162509,0.713521769,2.281243615,
0.43162522,0.73610416,2.273280697,
0.43162535,0.747395355,2.265332905,
0.43162548,0.769977745,2.257400769,
0.43162561,0.785032672,2.249484819,
0.43162574,0.800087599,2.241585584,
0.43162587,0.815142526,2.233703589,
0.431626,0.841488648,2.225839361,
0.43162613,0.860307307,2.217993424,
0.43162626,0.879125966,2.210166302,
0.43162639,0.894180893,2.202358518,
0.43162652,0.920527015,2.194570592,
0.43162665,0.943109405,2.186803043,
0.43162678,0.958164332,2.17905639,
0.43162691,0.976982991,2.17133115,
0.43162704,0.999565382,2.163627838,
0.43162717,1.022147772,2.155946969,
0.4316273,1.040966431,2.148289054,
0.43162743,1.063548821,2.140654604,
0.43162756,1.086131212,2.133044129,
0.43162769,1.097422407,2.125458137,
0.43162782,1.123768529,2.117897134,
0.43162795,1.142587188,2.110361624,
0.43162808,1.16893331,2.102852109,
0.43162821,1.183988237,2.095369092,
0.43162834,1.210334359,2.087913071,
0.43162847,1.236680481,2.080484544,
0.4316286,1.247971676,2.073084006,
0.43162873,1.270554067,2.065711951,
0.43162886,1.293136457,2.058368871,
0.43162899,1.308191384,2.051055255,
0.43162912,1.330773775,2.043771593,
0.43162925,1.345828702,2.036518369,
0.43162938,1.368411092,2.029296068,
0.43162951,1.394757214,2.022105171,
0.43162964,1.417339605,2.014946159,
0.43162977,1.436158263,2.007819508,
0.4316299,1.466268117,2.000725695,
0.43163003,1.481323044,1.993665193,
0.43163016,1.507669166,1.986638472,
0.43163029,1.518960362,1.979646002,
0.43163042,1.549070216,1.972688249,
0.43163055,1.560361411,1.965765677,
0.43163068,1.579180069,1.958878748,
0.43163081,1.60176246,1.952027922,
0.43163094,1.62434485,1.945213655,
0.43163107,1.646927241,1.938436403,
0.4316312,1.669509631,1.931696617,
0.43163133,1.692092022,1.924994748,
0.43163146,1.714674412,1.918331242,
0.43163159,1.729729339,1.911706543,
0.43163172,1.75231173,1.905121095,
0.43163185,1.771130388,1.898575336,
0.43163198,1.789949047,1.892069702,
0.43163211,1.808767706,1.885604629,
0.43163224,1.831350096,1.879180547,
0.43163237,1.846405023,1.872797885,
0.4316325,1.868987413,1.866457069,
0.43163263,1.88404234,1.860158521,
0.43163276,1.910388463,1.853902663,
0.43163289,1.929207121,1.847689911,
0.43163302,1.94802578,1.841520679,
0.43163315,1.974371902,1.835395381,
0.43163328,1.996954293,1.829314423,
0.43163341,2.015772951,1.823278213,
0.43163354,2.038355342,1.817287152,
0.43163367,2.057174,1.811341641,
0.4316338,2.075992659,1.805442075,
0.43163393,2.09857505,1.799588849,
0.43163406,2.124921172,1.793782353,
0.43163419,2.139976099,1.788022975,
0.43163432,2.166322221,1.782311099,
0.43163445,2.188904611,1.776647105,
0.43163458,2.20772327,1.771031373,
0.43163471,2.226541929,1.765464275,
0.43163484,2.249124319,1.759946185,
0.43163497,2.267942978,1.754477469,
0.4316351,2.279234173,1.749058494,
0.43163523,2.305580295,1.74368962,
0.43163536,2.331926417,1.738371205,
0.43163549,2.346981344,1.733103605,
0.43163562,2.373327467,1.727887171,
0.43163575,2.392146125,1.722722251,
0.43163588,2.418492247,1.717609189,
0.43163601,2.433547174,1.712548327,
0.43163614,2.456129565,1.707540003,
0.43163627,2.474948224,1.70258455,
0.4316364,2.497530614,1.697682299,
0.43163653,2.512585541,1.692833577,
0.43163666,2.538931663,1.688038708,
0.43163679,2.561514054,1.683298011,
0.43163692,2.576568981,1.678611803,
0.43163705,2.599151371,1.673980397,
0.43163718,2.621733761,1.669404101,
