#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 16:29:57.227,,
#Sample rate: 800000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Sine,,
#Frequency: 1 kHz,,
#Period: 1 ms,,
#Amplitude: 1 V,,
#Offset: 2.5 V,,
#Symmetry: 50 %,,
#Phase: 0 ��,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 5 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
0.42772375,0.64953833,2.5
0.427725,0.724812965,2.507853901
0.42772625,0.84525238,2.515707317
0.4277275,0.976982991,2.523559765
0.42772875,1.112477334,2.531410759
0.42773,1.251735408,2.539259816
0.42773125,1.387229751,2.547106451
0.4277325,1.522724093,2.55495018
0.42773375,1.650690973,2.56279052
0.427735,1.789949047,2.570626986
0.42773625,1.92544339,2.578459096
0.4277375,2.064701464,2.586286366
0.42773875,2.203959538,2.594108313
0.42774,2.331926417,2.601924456
0.42774125,2.478711955,2.609734311
0.4277425,2.61797003,2.617537397
0.42774375,2.749700641,2.625333234
0.427745,2.881431251,2.633121339
0.42774625,3.016925594,2.640901232
0.4277475,3.152419937,2.648672434
0.42774875,3.287914279,2.656434465
0.42775,3.430936085,2.664186847
0.42775125,3.562666696,2.6719291
0.4277525,3.698161039,2.679660749
0.42775375,3.837419113,2.687381315
0.427755,3.972913456,2.695090322
0.42775625,4.108407799,2.702787295
0.4277575,4.240138409,2.71047176
0.42775875,4.353050362,2.718143241
0.42776,4.424561265,2.725801267
0.42776125,4.45843485,2.733445364
0.4277625,4.465962314,2.741075061
0.42776375,4.45843485,2.748689887
0.427765,4.454671119,2.756289373
0.42776625,4.450907387,2.76387305
0.4277675,4.447143655,2.77144045
0.42776875,4.454671119,2.778991106
0.42777,4.454671119,2.786524553
0.42777125,4.450907387,2.794040325
0.4277725,4.450907387,2.80153796
0.42777375,4.443379923,2.809016994
0.427775,4.443379923,2.816476967
0.42777625,4.443379923,2.823917418
0.4277775,4.447143655,2.831337888
0.42777875,4.439616192,2.83873792
0.42778,4.439616192,2.846117057
0.42778125,4.43585246,2.853474844
0.4277825,4.439616192,2.860810826
0.42778375,4.439616192,2.868124553
0.427785,4.43585246,2.875415571
0.42778625,4.432088728,2.882683432
0.4277875,4.428324996,2.889927688
0.42778875,4.424561265,2.897147891
0.42779,4.424561265,2.904343596
0.42779125,4.424561265,2.911514359
0.4277925,4.424561265,2.918659738
0.42779375,4.424561265,2.925779292
0.427795,4.428324996,2.932872582
0.42779625,4.428324996,2.93993917
0.4277975,4.428324996,2.946978621
0.42779875,4.428324996,2.9539905
0.4278,4.424561265,2.960974375
0.42780125,4.420797533,2.967929814
0.4278025,4.417033801,2.97485639
0.42780375,4.417033801,2.981753674
0.427805,4.420797533,2.988621241
0.42780625,4.420797533,2.995458668
0.4278075,4.417033801,3.002265533
0.42780875,4.41327007,3.009041416
0.42781,4.417033801,3.015785898
0.42781125,4.41327007,3.022498565
0.4278125,4.41327007,3.029179001
0.42781375,4.41327007,3.035826795
0.427815,4.41327007,3.042441537
0.42781625,4.405742606,3.049022818
0.4278175,4.409506338,3.055570233
0.42781875,4.41327007,3.062083378
0.42782,4.405742606,3.068561851
0.42782125,4.409506338,3.075005252
0.4278225,4.417033801,3.081413184
0.42782375,4.409506338,3.087785252
0.427825,4.405742606,3.094121063
0.42782625,4.409506338,3.100420225
0.4278275,4.405742606,3.106682351
0.42782875,4.409506338,3.112907054
0.42783,4.409506338,3.119093949
0.42783125,4.405742606,3.125242656
0.4278325,4.405742606,3.131352795
0.42783375,4.409506338,3.13742399
0.427835,4.409506338,3.143455865
0.42783625,4.401978874,3.149448048
0.4278375,4.405742606,3.155400171
0.42783875,4.401978874,3.161311865
0.42784,4.398215143,3.167182767
0.42784125,4.401978874,3.173012514
0.4278425,4.398215143,3.178800746
0.42784375,4.394451411,3.184547106
0.427845,4.398215143,3.19025124
0.42784625,4.405742606,3.195912797
0.4278475,4.398215143,3.201531426
0.42784875,4.401978874,3.207106781
0.42785,4.405742606,3.212638519
0.42785125,4.401978874,3.218126298
0.4278525,4.401978874,3.223569779
0.42785375,4.401978874,3.228968627
0.427855,4.398215143,3.234322509
0.42785625,4.398215143,3.239631095
0.4278575,4.398215143,3.244894057
0.42785875,4.401978874,3.25011107
0.42786,4.398215143,3.255281812
0.42786125,4.401978874,3.260405966
0.4278625,4.401978874,3.265483213
0.42786375,4.394451411,3.270513243
0.427865,4.394451411,3.275495743
0.42786625,4.394451411,3.280430407
0.4278675,4.394451411,3.285316931
0.42786875,4.394451411,3.290155012
0.42787,4.394451411,3.294944353
0.42787125,4.398215143,3.299684658
0.4278725,4.398215143,3.304375635
0.42787375,4.394451411,3.309016994
0.427875,4.390687679,3.31360845
