#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 16:50:45.712,,
#Sample rate: 1.5873e+06Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Triangle,,
#Frequency: 1 kHz,,
#Period: 1 ms,,
#Amplitude: 1 V,,
#Offset: 2.5 V,,
#Symmetry: 50 %,,
#Phase: 0 ¡Æ,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 5 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
0.44183412,0.58555489,2.5
0.44183475,0.600609817,2.49748
0.44183538,0.619428476,2.49496
0.44183601,0.645774598,2.49244
0.44183664,0.675884452,2.48992
0.44183727,0.709758038,2.4874
0.4418379,0.75868655,2.48488
0.44183853,0.815142526,2.48236
0.44183916,0.875362234,2.47984
0.44183979,0.943109405,2.47732
0.44184042,1.007092845,2.4748
0.44184105,1.074840016,2.47228
0.44184168,1.142587188,2.46976
0.44184231,1.210334359,2.46724
0.44184294,1.270554067,2.46472
0.44184357,1.334537506,2.4622
0.4418442,1.409812141,2.45968
0.44184483,1.470031849,2.45716
0.44184546,1.53777902,2.45464
0.44184609,1.605526192,2.45212
0.44184672,1.677037095,2.4496
0.44184735,1.741020534,2.44708
0.44184798,1.805003974,2.44456
0.44184861,1.872751145,2.44204
0.44184924,1.940498316,2.43952
0.44184987,2.008245488,2.437
0.4418505,2.079756391,2.43448
0.44185113,2.147503562,2.43196
0.44185176,2.219014465,2.42944
0.44185239,2.282997905,2.42692
0.44185302,2.350745076,2.4244
0.44185365,2.422255979,2.42188
0.44185428,2.493766882,2.41936
0.44185491,2.561514054,2.41684
0.44185554,2.621733761,2.41432
0.44185617,2.681953469,2.4118
0.4418568,2.749700641,2.40928
0.44185743,2.824975275,2.40676
0.44185806,2.888958715,2.40424
0.44185869,2.96423335,2.40172
0.44185932,3.031980521,2.3992
0.44185995,3.099727692,2.39668
0.44186058,3.171238595,2.39416
0.44186121,3.235222035,2.39164
0.44186184,3.302969206,2.38912
0.44186247,3.378243841,2.3866
0.4418631,3.445991012,2.38408
0.44186373,3.513738184,2.38156
0.44186436,3.577721623,2.37904
0.44186499,3.645468795,2.37652
0.44186562,3.713215966,2.374
0.44186625,3.780963137,2.37148
0.44186688,3.848710309,2.36896
0.44186751,3.920221212,2.36644
0.44186814,3.991732115,2.36392
0.44186877,4.063243018,2.3614
0.4418694,4.130990189,2.35888
0.44187003,4.194973629,2.35636
0.44187066,4.258957068,2.35384
0.44187129,4.319176776,2.35132
0.44187192,4.360577825,2.3488
0.44187255,4.401978874,2.34628
0.44187318,4.432088728,2.34376
0.44187381,4.450907387,2.34124
0.44187444,4.465962314,2.33872
0.44187507,4.469726046,2.3362
0.4418757,4.45843485,2.33368
0.44187633,4.45843485,2.33116
0.44187696,4.454671119,2.32864
0.44187759,4.454671119,2.32612
0.44187822,4.450907387,2.3236
0.44187885,4.450907387,2.32108
0.44187948,4.450907387,2.31856
0.44188011,4.450907387,2.31604
0.44188074,4.450907387,2.31352
0.44188137,4.447143655,2.311
0.441882,4.443379923,2.30848
0.44188263,4.447143655,2.30596
0.44188326,4.447143655,2.30344
0.44188389,4.443379923,2.30092
0.44188452,4.443379923,2.2984
0.44188515,4.443379923,2.29588
0.44188578,4.443379923,2.29336
0.44188641,4.443379923,2.29084
0.44188704,4.443379923,2.28832
0.44188767,4.443379923,2.2858
0.4418883,4.443379923,2.28328
0.44188893,4.439616192,2.28076
0.44188956,4.439616192,2.27824
0.44189019,4.443379923,2.27572
0.44189082,4.447143655,2.2732
0.44189145,4.443379923,2.27068
0.44189208,4.443379923,2.26816
0.44189271,4.439616192,2.26564
0.44189334,4.443379923,2.26312
0.44189397,4.443379923,2.2606
0.4418946,4.43585246,2.25808
0.44189523,4.439616192,2.25556
0.44189586,4.43585246,2.25304
0.44189649,4.432088728,2.25052
0.44189712,4.432088728,2.248
0.44189775,4.43585246,2.24548
0.44189838,4.432088728,2.24296
0.44189901,4.432088728,2.24044
0.44189964,4.432088728,2.23792
0.44190027,4.432088728,2.2354
0.4419009,4.432088728,2.23288
0.44190153,4.432088728,2.23036
0.44190216,4.428324996,2.22784
0.44190279,4.424561265,2.22532
0.44190342,4.424561265,2.2228
0.44190405,4.432088728,2.22028
0.44190468,4.424561265,2.21776
0.44190531,4.420797533,2.21524
0.44190594,4.420797533,2.21272
0.44190657,4.420797533,2.2102
0.4419072,4.420797533,2.20768
0.44190783,4.424561265,2.20516
0.44190846,4.428324996,2.20264
0.44190909,4.428324996,2.20012
0.44190972,4.420797533,2.1976
0.44191035,4.424561265,2.19508
0.44191098,4.424561265,2.19256
0.44191161,4.424561265,2.19004
0.44191224,4.420797533,2.18752
0.44191287,4.417033801,2.185
0.4419135,4.417033801,2.18248
0.44191413,4.417033801,2.17996
0.44191476,4.420797533,2.17744
0.44191539,4.417033801,2.17492
0.44191602,4.420797533,2.1724
0.44191665,4.417033801,2.16988
0.44191728,4.41327007,2.16736
0.44191791,4.41327007,2.16484
