#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 16:45:34.002,,
#Sample rate: 1.5873e+06Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Custom1,,
#Frequency: 1 kHz,,
#Period: 1 ms,,
#Amplitude: 1 V,,
#Offset: 2.1 V,,
#Phase: 0 ��,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 5 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
0.44159661,0.698466842,1.183371909
0.44159724,0.67212072,1.179593816
0.44159787,0.675884452,1.179593816
0.4415985,0.67212072,1.183371909
0.44159913,0.668356988,1.183371909
0.44159976,0.660829525,1.183371909
0.44160039,0.660829525,1.179593816
0.44160102,0.668356988,1.179593816
0.44160165,0.668356988,1.183371909
0.44160228,0.67212072,1.183371909
0.44160291,0.690939379,1.187150003
0.44160354,0.724812965,1.187150003
0.44160417,0.769977745,1.183371909
0.4416048,0.833961185,1.183371909
0.44160543,0.916763283,1.183371909
0.44160606,1.014620309,1.209818563
0.44160669,1.112477334,1.213596657
0.44160732,1.214098091,1.20604047
0.44160795,1.315718848,1.209818563
0.44160858,1.413575873,1.209818563
0.44160921,1.51519663,1.20604047
0.44160984,1.613053655,1.209818563
0.44161047,1.703383217,1.213596657
0.4416111,1.801240242,1.209818563
0.44161173,1.895333536,1.209818563
0.44161236,1.993190561,1.209818563
0.44161299,2.087283854,1.213596657
0.44161362,2.18514088,1.20604047
0.44161425,2.279234173,1.209818563
0.44161488,2.373327467,1.20604047
0.44161551,2.471184492,1.209818563
0.44161614,2.572805249,1.175815722
0.44161677,2.659371079,1.164481442
0.4416174,2.757228104,1.164481442
0.44161803,2.851321398,1.164481442
0.44161866,2.952942154,1.164481442
0.44161929,3.047035448,1.168259535
0.44161992,3.144892473,1.160703348
0.44162055,3.235222035,1.160703348
0.44162118,3.33307906,1.160703348
0.44162181,3.430936085,1.164481442
0.44162244,3.532556842,1.160703348
0.44162307,3.630413868,1.164481442
0.4416237,3.728270893,1.164481442
0.44162433,3.822364186,1.160703348
0.44162496,3.920221212,1.164481442
0.44162559,4.021841969,1.156925255
0.44162622,4.127226457,1.09647576
0.44162685,4.210028556,1.100253853
0.44162748,4.2627208,1.100253853
0.44162811,4.281539459,1.09647576
0.44162874,4.292830654,1.100253853
0.44162937,4.289066922,1.092697666
0.44163,4.28530319,1.092697666
0.44163063,4.281539459,1.09647576
0.44163126,4.281539459,1.100253853
0.44163189,4.28530319,1.100253853
0.44163252,4.28530319,1.09647576
0.44163315,4.28530319,1.092697666
0.44163378,4.28530319,1.092697666
0.44163441,4.28530319,1.100253853
0.44163504,4.289066922,1.104031946
0.44163567,4.281539459,1.104031946
0.4416363,4.281539459,1.092697666
0.44163693,4.28530319,1.09647576
0.44163756,4.281539459,1.088919573
0.44163819,4.28530319,1.092697666
0.44163882,4.28530319,1.092697666
0.44163945,4.281539459,1.092697666
0.44164008,4.277775727,1.092697666
0.44164071,4.277775727,1.09647576
0.44164134,4.274011995,1.100253853
0.44164197,4.270248263,1.088919573
0.4416426,4.277775727,1.085141479
0.44164323,4.274011995,1.092697666
0.44164386,4.270248263,1.092697666
0.44164449,4.270248263,1.09647576
0.44164512,4.274011995,1.09647576
0.44164575,4.274011995,1.122922414
0.44164638,4.274011995,1.172037629
0.44164701,4.270248263,1.172037629
0.44164764,4.270248263,1.172037629
0.44164827,4.266484532,1.175815722
0.4416489,4.270248263,1.172037629
0.44164953,4.270248263,1.175815722
0.44165016,4.270248263,1.172037629
0.44165079,4.266484532,1.172037629
0.44165142,4.270248263,1.175815722
0.44165205,4.274011995,1.175815722
0.44165268,4.266484532,1.172037629
0.44165331,4.2627208,1.175815722
0.44165394,4.266484532,1.175815722
0.44165457,4.266484532,1.175815722
0.4416552,4.266484532,1.172037629
0.44165583,4.266484532,1.198484283
0.44165646,4.2627208,1.277824246
0.44165709,4.2627208,1.277824246
0.44165772,4.266484532,1.281602339
0.44165835,4.2627208,1.281602339
0.44165898,4.2627208,1.281602339
0.44165961,4.2627208,1.281602339
0.44166024,4.266484532,1.281602339
0.44166087,4.2627208,1.285380433
0.4416615,4.258957068,1.285380433
0.44166213,4.258957068,1.281602339
0.44166276,4.255193336,1.281602339
0.44166339,4.255193336,1.281602339
0.44166402,4.255193336,1.285380433
0.44166465,4.258957068,1.289158526
0.44166528,4.2627208,1.289158526
0.44166591,4.2627208,1.323161367
0.44166654,4.2627208,1.349608021
0.44166717,4.251429605,1.353386115
0.4416678,4.251429605,1.353386115
0.44166843,4.255193336,1.353386115
0.44166906,4.258957068,1.357164208
0.44166969,4.258957068,1.360942302
0.44167032,4.251429605,1.360942302
0.44167095,4.251429605,1.357164208
0.44167158,4.247665873,1.357164208
0.44167221,4.251429605,1.353386115
0.44167284,4.251429605,1.353386115
0.44167347,4.251429605,1.357164208
0.4416741,4.251429605,1.357164208
0.44167473,4.247665873,1.360942302
0.44167536,4.247665873,1.353386115
0.44167599,4.243902141,1.349608021
0.44167662,4.243902141,1.342051834
0.44167725,4.240138409,1.338273741
0.44167788,4.240138409,1.338273741
0.44167851,4.243902141,1.338273741
0.44167914,4.240138409,1.342051834
0.44167977,4.240138409,1.342051834
0.4416804,4.243902141,1.338273741
0.44168103,4.240138409,1.342051834
0.44168166,4.243902141,1.338273741
0.44168229,4.243902141,1.338273741
0.44168292,4.243902141,1.342051834
0.44168355,4.243902141,1.338273741
0.44168418,4.243902141,1.334495648
0.44168481,4.240138409,1.338273741
0.44168544,4.240138409,1.338273741
0.44168607,4.240138409,1.281602339
0.4416867,4.240138409,1.270268059
0.44168733,4.247665873,1.270268059
0.44168796,4.247665873,1.266489965
0.44168859,4.247665873,1.266489965
0.44168922,4.243902141,1.270268059
0.44168985,4.240138409,1.270268059
0.44169048,4.240138409,1.270268059
0.44169111,4.240138409,1.270268059
0.44169174,4.240138409,1.270268059
0.44169237,4.236374678,1.274046152
0.441693,4.236374678,1.274046152
0.44169363,4.240138409,1.270268059
0.44169426,4.232610946,1.270268059
0.44169489,4.236374678,1.274046152
0.44169552,4.232610946,1.270268059
0.44169615,4.236374678,1.236265218
0.44169678,4.232610946,1.224930937
0.44169741,4.228847214,1.228709031
0.44169804,4.232610946,1.228709031
0.44169867,4.232610946,1.224930937
0.4416993,4.236374678,1.224930937
0.44169993,4.228847214,1.228709031
0.44170056,4.228847214,1.228709031
0.44170119,4.228847214,1.228709031
0.44170182,4.236374678,1.232487124
0.44170245,4.240138409,1.224930937
0.44170308,4.236374678,1.224930937
0.44170371,4.232610946,1.228709031
0.44170434,4.228847214,1.224930937
0.44170497,4.228847214,1.224930937
0.4417056,4.232610946,1.224930937
0.44170623,4.228847214,1.262711872
0.44170686,4.228847214,1.262711872
0.44170749,4.232610946,1.262711872
0.44170812,4.232610946,1.266489965
0.44170875,4.236374678,1.266489965
0.44170938,4.228847214,1.262711872
0.44171001,4.228847214,1.266489965
0.44171064,4.228847214,1.262711872
0.44171127,4.236374678,1.266489965
0.4417119,4.228847214,1.266489965
0.44171253,4.228847214,1.266489965
0.44171316,4.232610946,1.262711872
0.44171379,4.236374678,1.262711872
0.44171442,4.236374678,1.258933778
0.44171505,4.232610946,1.258933778
0.44171568,4.228847214,1.262711872
0.44171631,4.225083483,1.364720395
0.44171694,4.225083483,1.368498489
0.44171757,4.232610946,1.368498489
0.4417182,4.228847214,1.368498489
0.44171883,4.228847214,1.360942302
0.44171946,4.232610946,1.364720395
0.44172009,4.228847214,1.368498489
0.44172072,4.228847214,1.368498489
0.44172135,4.228847214,1.368498489
0.44172198,4.232610946,1.364720395
0.44172261,4.228847214,1.360942302
0.44172324,4.225083483,1.364720395
0.44172387,4.228847214,1.364720395
0.4417245,4.225083483,1.368498489
0.44172513,4.225083483,1.368498489
0.44172576,4.228847214,1.398723236
0.44172639,4.232610946,1.474285106
0.44172702,4.225083483,1.474285106
0.44172765,4.221319751,1.470507012
0.44172828,4.225083483,1.462950825
0.44172891,4.221319751,1.459172732
0.44172954,4.228847214,1.459172732
0.44173017,4.225083483,1.462950825
0.4417308,4.225083483,1.462950825
0.44173143,4.232610946,1.466728919
0.44173206,4.232610946,1.466728919
0.44173269,4.228847214,1.462950825
0.44173332,4.225083483,1.462950825
0.44173395,4.228847214,1.462950825
0.44173458,4.225083483,1.470507012
0.44173521,4.221319751,1.466728919
0.44173584,4.221319751,1.470507012
0.44173647,4.225083483,1.485619386
0.4417371,4.228847214,1.489397479
0.44173773,4.225083483,1.489397479
0.44173836,4.228847214,1.489397479
0.44173899,4.225083483,1.489397479
0.44173962,4.217556019,1.489397479
0.44174025,4.225083483,1.485619386
0.44174088,4.225083483,1.489397479
0.44174151,4.225083483,1.489397479
0.44174214,4.225083483,1.489397479
0.44174277,4.225083483,1.489397479
0.4417434,4.225083483,1.493175573
0.44174403,4.225083483,1.489397479
0.44174466,4.232610946,1.489397479
0.44174529,4.236374678,1.489397479
0.44174592,4.228847214,1.459172732
0.44174655,4.228847214,1.432726078
0.44174718,4.228847214,1.428947984
0.44174781,4.228847214,1.425169891
0.44174844,4.221319751,1.432726078
0.44174907,4.228847214,1.428947984
0.4417497,4.228847214,1.432726078
0.44175033,4.228847214,1.432726078
0.44175096,4.232610946,1.432726078
0.44175159,4.228847214,1.428947984
0.44175222,4.232610946,1.428947984
0.44175285,4.232610946,1.436504171
0.44175348,4.228847214,1.436504171
0.44175411,4.225083483,1.428947984
0.44175474,4.225083483,1.428947984
0.44175537,4.221319751,1.432726078
0.441756,4.221319751,1.40250133
0.44175663,4.225083483,1.364720395
0.44175726,4.225083483,1.357164208
0.44175789,4.221319751,1.357164208
0.44175852,4.225083483,1.357164208
0.44175915,4.221319751,1.357164208
0.44175978,4.221319751,1.360942302
0.44176041,4.225083483,1.364720395
0.44176104,4.228847214,1.364720395
0.44176167,4.228847214,1.364720395
0.4417623,4.228847214,1.368498489
0.44176293,4.225083483,1.364720395
0.44176356,4.225083483,1.368498489
0.44176419,4.225083483,1.360942302
0.44176482,4.225083483,1.360942302
0.44176545,4.225083483,1.360942302
0.44176608,4.228847214,1.360942302
0.44176671,4.225083483,1.360942302
0.44176734,4.228847214,1.360942302
0.44176797,4.225083483,1.357164208
0.4417686,4.221319751,1.357164208
