#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 16:48:27.898,,
#Sample rate: 1.5873e+06Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Triangle,,
#Frequency: 1 kHz,,
#Period: 1 ms,,
#Amplitude: 1 V,,
#Offset: 2.5 V,,
#Symmetry: 50 %,,
#Phase: 0 ��,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 5 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
0.4425372,0.713521769,2.501926527
0.44253783,0.709758038,2.498148433
0.44253846,0.709758038,2.49437034
0.44253909,0.709758038,2.486814153
0.44253972,0.705994306,2.48303606
0.44254035,0.713521769,2.479257966
0.44254098,0.709758038,2.479257966
0.44254161,0.705994306,2.479257966
0.44254224,0.709758038,2.479257966
0.44254287,0.709758038,2.479257966
0.4425435,0.705994306,2.48303606
0.44254413,0.709758038,2.471701779
0.44254476,0.709758038,2.471701779
0.44254539,0.705994306,2.464145592
0.44254602,0.705994306,2.456589405
0.44254665,0.705994306,2.460367499
0.44254728,0.702230574,2.460367499
0.44254791,0.702230574,2.460367499
0.44254854,0.702230574,2.460367499
0.44254917,0.702230574,2.452811312
0.4425498,0.702230574,2.452811312
0.44255043,0.702230574,2.449033218
0.44255106,0.702230574,2.441477031
0.44255169,0.698466842,2.441477031
0.44255232,0.698466842,2.441477031
0.44255295,0.698466842,2.437698938
0.44255358,0.698466842,2.437698938
0.44255421,0.698466842,2.433920845
0.44255484,0.694703111,2.433920845
0.44255547,0.694703111,2.430142751
0.4425561,0.694703111,2.426364658
0.44255673,0.694703111,2.430142751
0.44255736,0.694703111,2.422586564
0.44255799,0.698466842,2.422586564
0.44255862,0.698466842,2.415030377
0.44255925,0.698466842,2.411252284
0.44255988,0.694703111,2.411252284
0.44256051,0.690939379,2.40747419
0.44256114,0.690939379,2.411252284
0.44256177,0.694703111,2.403696097
0.4425624,0.702230574,2.403696097
0.44256303,0.698466842,2.403696097
0.44256366,0.694703111,2.403696097
0.44256429,0.694703111,2.39613991
0.44256492,0.687175647,2.39613991
0.44256555,0.687175647,2.392361817
0.44256618,0.683411915,2.388583723
0.44256681,0.683411915,2.381027536
0.44256744,0.683411915,2.377249443
0.44256807,0.683411915,2.381027536
0.4425687,0.679648184,2.373471349
0.44256933,0.679648184,2.369693256
0.44256996,0.683411915,2.369693256
0.44257059,0.687175647,2.369693256
0.44257122,0.679648184,2.365915162
0.44257185,0.675884452,2.362137069
0.44257248,0.679648184,2.354580882
0.44257311,0.687175647,2.350802788
0.44257374,0.705994306,2.350802788
0.44257437,0.728576696,2.350802788
0.442575,0.754922818,2.347024695
0.44257563,0.792560136,2.347024695
0.44257626,0.837724917,2.343246602
0.44257689,0.890417161,2.343246602
0.44257752,0.950636869,2.339468508
0.44257815,1.022147772,2.331912321
0.44257878,1.086131212,2.324356134
0.44257941,1.150114651,2.331912321
0.44258004,1.217861822,2.328134228
0.44258067,1.281845262,2.320578041
0.4425813,1.34206497,2.320578041
0.44258193,1.413575873,2.324356134
0.44258256,1.477559313,2.320578041
0.44258319,1.549070216,2.313021854
0.44258382,1.609289923,2.313021854
0.44258445,1.673273363,2.313021854
0.44258508,1.741020534,2.305465667
0.44258571,1.808767706,2.301687573
0.44258634,1.868987413,2.29790948
0.44258697,1.932970853,2.29790948
0.4425876,2.000718024,2.29790948
0.44258823,2.064701464,2.294131387
0.44258886,2.132448635,2.290353293
0.44258949,2.196432075,2.294131387
0.44259012,2.256651783,2.294131387
0.44259075,2.324398954,2.282797106
0.44259138,2.388382394,2.282797106
0.44259201,2.459893297,2.279019013
0.44259264,2.523876736,2.271462826
0.44259327,2.591623907,2.271462826
0.4425939,2.651843615,2.263906639
0.44259453,2.715827055,2.271462826
0.44259516,2.783574226,2.267684732
0.44259579,2.851321398,2.260128545
0.44259642,2.915304837,2.267684732
0.44259705,2.979288277,2.260128545
0.44259768,3.043271716,2.260128545
0.44259831,3.114782619,2.260128545
0.44259894,3.175002327,2.256350452
0.44259957,3.242749498,2.252572358
0.4426002,3.31049667,2.248794265
0.44260083,3.378243841,2.245016172
0.44260146,3.445991012,2.237459985
0.44260209,3.509974452,2.241238078
0.44260272,3.573957892,2.241238078
0.44260335,3.641705063,2.241238078
0.44260398,3.701924771,2.237459985
0.44260461,3.773435674,2.237459985
0.44260524,3.841182845,2.233681891
0.44260587,3.912693748,2.229903798
0.4426065,3.980440919,2.229903798
0.44260713,4.055715554,2.222347611
0.44260776,4.119698994,2.214791424
0.44260839,4.17615497,2.222347611
0.44260902,4.232610946,2.222347611
0.44260965,4.270248263,2.218569517
0.44261028,4.28530319,2.218569517
0.44261091,4.28530319,2.21101333
0.44261154,4.292830654,2.214791424
0.44261217,4.292830654,2.207235237
0.4426128,4.289066922,2.203457143
0.44261343,4.289066922,2.203457143
0.44261406,4.289066922,2.203457143
0.44261469,4.28530319,2.195900957
0.44261532,4.28530319,2.195900957
0.44261595,4.28530319,2.18834477
0.44261658,4.289066922,2.18834477
