#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 18:46:46.717,,
#Sample rate: 160000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Custom1,,
#Frequency: 100 Hz,,
#Period: 10 ms,,
#Amplitude: 500 mV,,
#Offset: 500 mV,,
#Phase: 0 ��,,
#Wavegen Channel 2: Running,,
#Mode: Simple,,
#Type: DC,,
#Offset: 5 V,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 1.6 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
0.068775,-3.166885654,0.053721964
0.06878125,-3.238396557,0.057500058
0.0687875,-3.22334163,0.057500058
0.06879375,-3.219577899,0.061278151
0.0688,-3.219577899,0.061278151
0.06880625,-3.208286703,0.065056245
0.0688125,-3.204522972,0.065056245
0.06881875,-3.204522972,0.065056245
0.068825,-3.204522972,0.065056245
0.06883125,-3.196995508,0.065056245
0.0688375,-3.196995508,0.065056245
0.06884375,-3.196995508,0.072612432
0.06885,-3.193231777,0.072612432
0.06885625,-3.196995508,0.080168619
0.0688625,-3.193231777,0.083946712
0.06886875,-3.20075924,0.080168619
0.068875,-3.193231777,0.083946712
0.06888125,-3.189468045,0.083946712
0.0688875,-3.185704313,0.083946712
0.06889375,-3.181940581,0.083946712
0.0689,-3.185704313,0.087724806
0.06890625,-3.181940581,0.083946712
0.0689125,-3.185704313,0.083946712
0.06891875,-3.185704313,0.080168619
0.068925,-3.185704313,0.087724806
0.06893125,-3.181940581,0.087724806
0.0689375,-3.185704313,0.083946712
0.06894375,-3.185704313,0.083946712
0.06895,-3.181940581,0.083946712
0.06895625,-3.174413118,0.061278151
0.0689625,-3.17817685,0.061278151
0.06896875,-3.17817685,0.057500058
0.068975,-3.17817685,0.061278151
0.06898125,-3.174413118,0.057500058
0.0689875,-3.174413118,0.061278151
0.06899375,-3.17817685,0.061278151
0.069,-3.174413118,0.057500058
0.06900625,-3.174413118,0.061278151
0.0690125,-3.174413118,0.061278151
0.06901875,-3.174413118,0.057500058
0.069025,-3.17817685,0.057500058
0.06903125,-3.174413118,0.057500058
0.0690375,-3.17817685,0.061278151
0.06904375,-3.17817685,0.061278151
0.06905,-3.181940581,0.061278151
0.06905625,-3.163121923,0.023497217
0.0690625,-3.163121923,0.023497217
0.06906875,-3.166885654,0.02727531
0.069075,-3.166885654,0.023497217
0.06908125,-3.166885654,0.023497217
0.0690875,-3.170649386,0.023497217
0.06909375,-3.170649386,0.02727531
0.0691,-3.170649386,0.023497217
0.06910625,-3.170649386,0.023497217
0.0691125,-3.170649386,0.023497217
0.06911875,-3.174413118,0.023497217
0.069125,-3.170649386,0.023497217
0.06913125,-3.170649386,0.023497217
0.0691375,-3.170649386,0.023497217
0.06914375,-3.170649386,0.023497217
0.06915,-3.170649386,0.023497217
0.06915625,-3.166885654,0.019719123
0.0691625,-3.170649386,0.01594103
0.06916875,-3.166885654,0.01594103
0.069175,-3.166885654,0.01594103
0.06918125,-3.166885654,0.019719123
0.0691875,-3.170649386,0.019719123
0.06919375,-3.166885654,0.01594103
0.0692,-3.166885654,0.01594103
0.06920625,-3.166885654,0.01594103
0.0692125,-3.170649386,0.019719123
0.06921875,-3.166885654,0.019719123
0.069225,-3.166885654,0.019719123
0.06923125,-3.163121923,0.019719123
0.0692375,-3.166885654,0.01594103
0.06924375,-3.166885654,0.019719123
0.06925,-3.166885654,0.019719123
0.06925625,-3.17817685,0.046165777
0.0692625,-3.174413118,0.057500058
0.06926875,-3.17817685,0.057500058
0.069275,-3.17817685,0.057500058
0.06928125,-3.17817685,0.053721964
0.0692875,-3.17817685,0.057500058
0.06929375,-3.17817685,0.057500058
0.0693,-3.17817685,0.061278151
0.06930625,-3.174413118,0.057500058
0.0693125,-3.17817685,0.057500058
0.06931875,-3.17817685,0.057500058
0.069325,-3.17817685,0.057500058
