#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 18:46:15.805,,
#Sample rate: 160000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Sine,,
#Frequency: 100 Hz,,
#Period: 10 ms,,
#Amplitude: 500 mV,,
#Offset: 500 mV,,
#Symmetry: 50 %,,
#Phase: 0 ��,,
#Wavegen Channel 2: Running,,
#Mode: Simple,,
#Type: DC,,
#Offset: 5 V,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 1.6 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
0.06716875,-1.574827128,0.503315086
0.067175,-1.57859086,0.503315086
0.06718125,-1.574827128,0.503315086
0.0671875,-1.574827128,0.50709318
0.06719375,-1.574827128,0.50709318
0.0672,-1.574827128,0.510871273
0.06720625,-1.574827128,0.514649367
0.0672125,-1.574827128,0.51842746
0.06721875,-1.574827128,0.522205554
0.067225,-1.582354592,0.522205554
0.06723125,-1.574827128,0.525983647
0.0672375,-1.574827128,0.525983647
0.06724375,-1.57859086,0.525983647
0.06725,-1.57859086,0.52976174
0.06725625,-1.574827128,0.533539834
0.0672625,-1.57859086,0.533539834
0.06726875,-1.574827128,0.537317927
0.067275,-1.57859086,0.537317927
0.06728125,-1.57859086,0.541096021
0.0672875,-1.57859086,0.541096021
0.06729375,-1.57859086,0.544874114
0.0673,-1.57859086,0.541096021
0.06730625,-1.582354592,0.548652208
0.0673125,-1.57859086,0.552430301
0.06731875,-1.582354592,0.548652208
0.067325,-1.586118324,0.556208395
0.06733125,-1.57859086,0.556208395
0.0673375,-1.582354592,0.556208395
0.06734375,-1.586118324,0.559986488
0.06735,-1.586118324,0.559986488
0.06735625,-1.586118324,0.559986488
0.0673625,-1.586118324,0.567542675
0.06736875,-1.589882055,0.567542675
0.067375,-1.586118324,0.567542675
0.06738125,-1.586118324,0.571320769
0.0673875,-1.589882055,0.575098862
0.06739375,-1.589882055,0.578876955
0.0674,-1.589882055,0.578876955
0.06740625,-1.589882055,0.578876955
0.0674125,-1.593645787,0.582655049
0.06741875,-1.593645787,0.582655049
0.067425,-1.597409519,0.586433142
0.06743125,-1.597409519,0.586433142
0.0674375,-1.597409519,0.586433142
0.06744375,-1.601173251,0.590211236
0.06745,-1.601173251,0.593989329
0.06745625,-1.597409519,0.590211236
0.0674625,-1.601173251,0.593989329
0.06746875,-1.604936982,0.597767423
0.067475,-1.604936982,0.597767423
0.06748125,-1.608700714,0.601545516
0.0674875,-1.608700714,0.60532361
0.06749375,-1.612464446,0.601545516
0.0675,-1.608700714,0.60532361
0.06750625,-1.612464446,0.609101703
0.0675125,-1.612464446,0.609101703
0.06751875,-1.616228178,0.612879797
0.067525,-1.616228178,0.612879797
0.06753125,-1.619991909,0.61665789
0.0675375,-1.619991909,0.61665789
0.06754375,-1.623755641,0.620435983
0.06755,-1.623755641,0.624214077
0.06755625,-1.623755641,0.620435983
0.0675625,-1.623755641,0.62799217
0.06756875,-1.627519373,0.631770264
0.067575,-1.627519373,0.62799217
