#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AC1D4D,,
#Date Time: 2020-12-03 18:54:55.030,,
#Sample rate: 80000Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Triangle,,
#Frequency: 100 Hz,,
#Period: 10 ms,,
#Amplitude: 500 mV,,
#Offset: 500 mV,,
#Symmetry: 50 %,,
#Phase: 0 ��,,
#Wavegen Channel 2: Running,,
#Mode: Simple,,
#Type: DC,,
#Offset: 5 V,,
#Power Supplies: ON,,
#Positive Supply: ON,,
#Voltage: 1.6 V,,
#Negative Supply: ON,,
#Voltage: -5 V,,
,,
Time (s),Channel 1 (V),Channel 2 (V)
0.026275,-1.917326717,0.499536993
0.0262875,-1.921090448,0.503315086
0.0263,-1.921090448,0.50709318
0.0263125,-1.92485418,0.50709318
0.026325,-1.928617912,0.510871273
0.0263375,-1.928617912,0.510871273
0.02635,-1.932381644,0.51842746
0.0263625,-1.932381644,0.51842746
0.026375,-1.932381644,0.522205554
0.0263875,-1.932381644,0.525983647
0.0264,-1.932381644,0.525983647
0.0264125,-1.932381644,0.52976174
0.026425,-1.932381644,0.533539834
0.0264375,-1.932381644,0.537317927
0.02645,-1.939909107,0.541096021
0.0264625,-1.936145375,0.541096021
0.026475,-1.936145375,0.544874114
0.0264875,-1.939909107,0.544874114
0.0265,-1.943672839,0.548652208
0.0265125,-1.943672839,0.548652208
0.026525,-1.947436571,0.552430301
0.0265375,-1.943672839,0.556208395
0.02655,-1.943672839,0.559986488
0.0265625,-1.943672839,0.559986488
0.026575,-1.943672839,0.563764582
0.0265875,-1.943672839,0.563764582
0.0266,-1.947436571,0.567542675
0.0266125,-1.947436571,0.571320769
0.026625,-1.951200302,0.575098862
0.0266375,-1.954964034,0.578876955
0.02665,-1.951200302,0.578876955
0.0266625,-1.954964034,0.582655049
0.026675,-1.954964034,0.586433142
0.0266875,-1.958727766,0.586433142
0.0267,-1.958727766,0.586433142
0.0267125,-1.962491498,0.590211236
0.026725,-1.966255229,0.593989329
0.0267375,-1.966255229,0.593989329
0.02675,-1.970018961,0.597767423
0.0267625,-1.970018961,0.597767423
0.026775,-1.970018961,0.601545516
0.0267875,-1.977546425,0.60532361
0.0268,-1.977546425,0.60532361
0.0268125,-1.981310156,0.609101703
0.026825,-1.98883762,0.609101703
0.0268375,-1.992601352,0.612879797
0.02685,-1.992601352,0.61665789
0.0268625,-2.000128815,0.620435983
0.026875,-2.003892547,0.620435983
0.0268875,-2.007656278,0.624214077
0.0269,-2.01142001,0.62799217
0.0269125,-2.015183742,0.62799217
0.026925,-2.022711205,0.631770264
0.0269375,-2.026474937,0.631770264
0.02695,-2.030238669,0.635548357
0.0269625,-2.049057328,0.639326451
0.026975,-2.342628403,0.643104544
0.0269875,-2.406611843,0.643104544
0.027,-1.985073888,0.646882638
0.0270125,-1.205981418,0.650660731
0.027025,-1.138234247,0.650660731
0.0270375,-1.141997978,0.654438825
0.02705,-1.14576171,0.658216918
0.0270625,-1.149525442,0.661995012
0.027075,-1.153289174,0.661995012
0.0270875,-1.153289174,0.661995012
